date,reduction,datetime,time
2020-03-16,0.5053579375294793,2020-03-16,36
2020-03-17,0.5277371481621038,2020-03-17,37
2020-03-18,0.5326431034118155,2020-03-18,38
2020-03-19,0.5731848218858613,2020-03-19,39
2020-03-20,0.5520409978739357,2020-03-20,40
2020-03-21,0.6274930589605445,2020-03-21,41
2020-03-22,0.6658128286379966,2020-03-22,42
2020-03-23,0.5557714915350566,2020-03-23,43
2020-03-24,0.5648114677608574,2020-03-24,44
2020-03-25,0.5641671208421836,2020-03-25,45
2020-03-26,0.5642040434571989,2020-03-26,46
2020-03-27,0.5630888654821481,2020-03-27,47
2020-03-28,0.6282579958570025,2020-03-28,48
2020-03-29,0.6650261157561848,2020-03-29,49
2020-03-30,0.5886635825778164,2020-03-30,50
2020-03-31,0.5950118771370437,2020-03-31,51
2020-04-01,0.588922124392689,2020-04-01,52
2020-04-02,0.5878433826188629,2020-04-02,53
2020-04-03,0.5790945597593601,2020-04-03,54
2020-04-04,0.628420345550097,2020-04-04,55
2020-04-05,0.6680423935425593,2020-04-05,56
2020-04-06,0.5813570601305904,2020-04-06,57
2020-04-07,0.577504792684301,2020-04-07,58
2020-04-08,0.5719618289473396,2020-04-08,59
2020-04-09,0.6267162400967897,2020-04-09,60
2020-04-10,0.6569746551488586,2020-04-10,61
2020-04-11,0.6168366523264448,2020-04-11,62
2020-04-12,0.6632511832903216,2020-04-12,63
2020-04-13,0.5938525021587691,2020-04-13,64
2020-04-14,0.5469870439411463,2020-04-14,65
2020-04-15,0.5509102482035226,2020-04-15,66
2020-04-16,0.5478017211166836,2020-04-16,67
2020-04-17,0.544403325547293,2020-04-17,68
2020-04-18,0.6100684655658242,2020-04-18,69
2020-04-19,0.6553999738045141,2020-04-19,70
2020-04-20,0.547403255825891,2020-04-20,71
2020-04-21,0.544128268777907,2020-04-21,72
2020-04-22,0.538264477406769,2020-04-22,73
2020-04-23,0.5454048679879915,2020-04-23,74
2020-04-24,0.5360312573934665,2020-04-24,75
2020-04-25,0.6050595222851777,2020-04-25,76
2020-04-26,0.6440929207060736,2020-04-26,77
2020-04-27,0.5311351448768578,2020-04-27,78
2020-04-28,0.5279967951464563,2020-04-28,79
2020-04-29,0.5219714748457032,2020-04-29,80
2020-04-30,0.5186516859450849,2020-04-30,81
2020-05-01,0.6231776672346971,2020-05-01,82
2020-05-02,0.5534850730472598,2020-05-02,83
2020-05-03,0.5891738235226199,2020-05-03,84
2020-05-04,0.4781645666223136,2020-05-04,85
2020-05-05,0.47567017791643407,2020-05-05,86
2020-05-06,0.4789022061328195,2020-05-06,87
2020-05-07,0.4789044166561069,2020-05-07,88
2020-05-08,0.47712667480839815,2020-05-08,89
2020-05-09,0.5476800818594437,2020-05-09,90
2020-05-10,0.6058820116124787,2020-05-10,91
2020-05-11,0.4453507016704934,2020-05-11,92
2020-05-12,0.45622287436007314,2020-05-12,93
2020-05-13,0.4498832166618849,2020-05-13,94
2020-05-14,0.46260277244854375,2020-05-14,95
2020-05-15,0.45435352650882244,2020-05-15,96
2020-05-16,0.5031188781072227,2020-05-16,97
2020-05-17,0.5384832584559529,2020-05-17,98
2020-05-18,0.4145305791809679,2020-05-18,99
2020-05-19,0.4123596484279519,2020-05-19,100
2020-05-20,0.4087233880580472,2020-05-20,101
2020-05-21,0.4082894645376116,2020-05-21,102
2020-05-22,0.3981403855892959,2020-05-22,103
2020-05-23,0.4505689672482993,2020-05-23,104
2020-05-24,0.49649657465105457,2020-05-24,105
2020-05-25,0.38530303191707704,2020-05-25,106
2020-05-26,0.38188283088207725,2020-05-26,107
2020-05-27,0.37621749640579194,2020-05-27,108
2020-05-28,0.37184855709731307,2020-05-28,109
2020-05-29,0.35937624616017694,2020-05-29,110
2020-05-30,0.396105628962376,2020-05-30,111
2020-05-31,0.4556854168560058,2020-05-31,112
2020-06-01,0.3772199241075902,2020-06-01,113
2020-06-02,0.3660863626216507,2020-06-02,114
2020-06-03,0.3640532217469875,2020-06-03,115
2020-06-04,0.3676259613069654,2020-06-04,116
2020-06-05,0.34163859227743715,2020-06-05,117
2020-06-06,0.3810180887572434,2020-06-06,118
2020-06-07,0.4523339982138484,2020-06-07,119
2020-06-08,0.3609424477504818,2020-06-08,120
2020-06-09,0.3538457010218975,2020-06-09,121
2020-06-10,0.3414234029076013,2020-06-10,122
2020-06-11,0.35325961485709795,2020-06-11,123
2020-06-12,0.33471689301501917,2020-06-12,124
2020-06-13,0.3670993117048416,2020-06-13,125
2020-06-14,0.41737597362470125,2020-06-14,126
2020-06-15,0.34251983381830564,2020-06-15,127
2020-06-16,0.3447885397097279,2020-06-16,128
2020-06-17,0.3361955756092892,2020-06-17,129
2020-06-18,0.33356747502505507,2020-06-18,130
2020-06-19,0.3171236015112738,2020-06-19,131
2020-06-20,0.35322346082038275,2020-06-20,132
2020-06-21,0.39390355110940833,2020-06-21,133
2020-06-22,0.3259545848112783,2020-06-22,134
2020-06-23,0.3129359307055955,2020-06-23,135
2020-06-24,0.34110586231623885,2020-06-24,136
2020-06-25,0.31627527615816914,2020-06-25,137
2020-06-26,0.3047895987521529,2020-06-26,138
2020-06-27,0.347634082353763,2020-06-27,139
2020-06-28,0.38897509810774233,2020-06-28,140
2020-06-29,0.32150374389303854,2020-06-29,141
2020-06-30,0.3155461162051252,2020-06-30,142
2020-07-01,0.31067215332448334,2020-07-01,143
2020-07-02,0.31005463164283725,2020-07-02,144
2020-07-03,0.3010741490886818,2020-07-03,145
2020-07-04,0.34306673016996786,2020-07-04,146
2020-07-05,0.3810661922009424,2020-07-05,147
2020-07-06,0.31914975684259955,2020-07-06,148
2020-07-07,0.31645624655475424,2020-07-07,149
2020-07-08,0.3169727858223806,2020-07-08,150
2020-07-09,0.30998803900743904,2020-07-09,151
2020-07-10,0.3024630288364661,2020-07-10,152
2020-07-11,0.34490762579220446,2020-07-11,153
2020-07-12,0.38689694147734244,2020-07-12,154
2020-07-13,0.3179934916569929,2020-07-13,155
2020-07-14,0.3166753308217878,2020-07-14,156
2020-07-15,0.3186137963594216,2020-07-15,157
2020-07-16,0.3126713714613757,2020-07-16,158
2020-07-17,0.3091569051924419,2020-07-17,159
2020-07-18,0.34995756086924074,2020-07-18,160
2020-07-19,0.3874405477048504,2020-07-19,161
2020-07-20,0.32318851039698665,2020-07-20,162
2020-07-21,0.3226837914766659,2020-07-21,163
2020-07-22,0.3173256736433042,2020-07-22,164
2020-07-23,0.313957738829133,2020-07-23,165
2020-07-24,0.30804552561155246,2020-07-24,166
2020-07-25,0.355214045737547,2020-07-25,167
2020-07-26,0.39101543810774786,2020-07-26,168
2020-07-27,0.3244739753465741,2020-07-27,169
2020-07-28,0.326358999788817,2020-07-28,170
2020-07-29,0.31497749418317733,2020-07-29,171
2020-07-30,0.3164596736747128,2020-07-30,172
2020-07-31,0.3127080337122448,2020-07-31,173
2020-08-01,0.3537143474582608,2020-08-01,174
2020-08-02,0.3987254405716862,2020-08-02,175
2020-08-03,0.3342796749816541,2020-08-03,176
2020-08-04,0.33463724752591983,2020-08-04,177
2020-08-05,0.33045668925577715,2020-08-05,178
2020-08-06,0.3281558290079144,2020-08-06,179
2020-08-07,0.3241980971826667,2020-08-07,180
2020-08-08,0.3613405685338439,2020-08-08,181
2020-08-09,0.40251304244530806,2020-08-09,182
2020-08-10,0.3430878135780678,2020-08-10,183
2020-08-11,0.34677773155885644,2020-08-11,184
2020-08-12,0.34201532263394374,2020-08-12,185
2020-08-13,0.33744197174872564,2020-08-13,186
2020-08-14,0.3332604812490999,2020-08-14,187
2020-08-15,0.3866860784947184,2020-08-15,188
2020-08-16,0.4090495640638732,2020-08-16,189
2020-08-17,0.3494218326611252,2020-08-17,190
2020-08-18,0.35031938690108727,2020-08-18,191
2020-08-19,0.34668814023144884,2020-08-19,192
2020-08-20,0.3434300080292504,2020-08-20,193
2020-08-21,0.33998592186877563,2020-08-21,194
2020-08-22,0.3734311160931423,2020-08-22,195
2020-08-23,0.4096178377287831,2020-08-23,196
2020-08-24,0.34558578658127675,2020-08-24,197
2020-08-25,0.3434074528986175,2020-08-25,198
2020-08-26,0.34387907454329386,2020-08-26,199
2020-08-27,0.3414242607151005,2020-08-27,200
2020-08-28,0.3358934579079132,2020-08-28,201
2020-08-29,0.3791184903696208,2020-08-29,202
2020-08-30,0.4118777861981021,2020-08-30,203
2020-08-31,0.3385167528373853,2020-08-31,204
2020-09-01,0.3286708212244458,2020-09-01,205
2020-09-02,0.32256071048456386,2020-09-02,206
2020-09-03,0.3220487809861369,2020-09-03,207
2020-09-04,0.31248666076807835,2020-09-04,208
2020-09-05,0.360044471967834,2020-09-05,209
2020-09-06,0.40216409002845965,2020-09-06,210
2020-09-07,0.32862627530870536,2020-09-07,211
2020-09-08,0.3341213508391318,2020-09-08,212
2020-09-09,0.3200065881294804,2020-09-09,213
2020-09-10,0.3239223774227094,2020-09-10,214
2020-09-11,0.3257369187183367,2020-09-11,215
2020-09-12,0.3499982410627033,2020-09-12,216
2020-09-13,0.39680754114912675,2020-09-13,217
2020-09-14,0.3199035297595203,2020-09-14,218
2020-09-15,0.31571567859231064,2020-09-15,219
2020-09-16,0.31478010501014275,2020-09-16,220
2020-09-17,0.3121731558415129,2020-09-17,221
2020-09-18,0.3106212775107589,2020-09-18,222
2020-09-19,0.36666450460263694,2020-09-19,223
2020-09-20,0.4146649630122087,2020-09-20,224
2020-09-21,0.3227664598847743,2020-09-21,225
2020-09-22,0.3150777035032938,2020-09-22,226
2020-09-23,0.32090942462805594,2020-09-23,227
2020-09-24,0.32168361553594677,2020-09-24,228
2020-09-25,0.30969660383573266,2020-09-25,229
2020-09-26,0.3723666139089634,2020-09-26,230
2020-09-27,0.42491538971579895,2020-09-27,231
2020-09-28,0.3187263312394254,2020-09-28,232
2020-09-29,0.3187108697974608,2020-09-29,233
2020-09-30,0.31964258796293327,2020-09-30,234
2020-10-01,0.31421359884073297,2020-10-01,235
2020-10-02,0.31159776684629187,2020-10-02,236
2020-10-03,0.3716695219409945,2020-10-03,237
2020-10-04,0.4355049365503589,2020-10-04,238
2020-10-05,0.3208288020528434,2020-10-05,239
2020-10-06,0.3198585671327864,2020-10-06,240
2020-10-07,0.3186639369045957,2020-10-07,241
2020-10-08,0.31200397778573535,2020-10-08,242
2020-10-09,0.31448731777730354,2020-10-09,243
2020-10-10,0.3709500465939939,2020-10-10,244
2020-10-11,0.4273111268008238,2020-10-11,245
2020-10-12,0.4231387678143462,2020-10-12,246
2020-10-13,0.322552294039187,2020-10-13,247
2020-10-14,0.3236077028628943,2020-10-14,248
2020-10-15,0.31977930768426216,2020-10-15,249
2020-10-16,0.31166261837937015,2020-10-16,250
2020-10-17,0.38440095107613187,2020-10-17,251
2020-10-18,0.4400018525580367,2020-10-18,252
2020-10-19,0.3307287194879312,2020-10-19,253
2020-10-20,0.3335743169610882,2020-10-20,254
2020-10-21,0.32821977683402137,2020-10-21,255
2020-10-22,0.3320164454255689,2020-10-22,256
2020-10-23,0.31578933806589915,2020-10-23,257
2020-10-24,0.38803059798883177,2020-10-24,258
2020-10-25,0.4545971000113299,2020-10-25,259
2020-10-26,0.33682460747445625,2020-10-26,260
2020-10-27,0.33215849965963773,2020-10-27,261
2020-10-28,0.32962910833434966,2020-10-28,262
2020-10-29,0.32262718580241373,2020-10-29,263
2020-10-30,0.3283470193708186,2020-10-30,264
2020-10-31,0.41069867865380494,2020-10-31,265
2020-11-01,0.4719582835088458,2020-11-01,266
2020-11-02,0.39536501648019645,2020-11-02,267
2020-11-03,0.3310250619905168,2020-11-03,268
2020-11-04,0.3338787206575128,2020-11-04,269
2020-11-05,0.33599199296035326,2020-11-05,270
2020-11-06,0.3338765526691597,2020-11-06,271
2020-11-07,0.4318388719539803,2020-11-07,272
2020-11-08,0.48297968067405284,2020-11-08,273
2020-11-09,0.3508084053933726,2020-11-09,274
2020-11-10,0.340874170020979,2020-11-10,275
2020-11-11,0.33893155095369715,2020-11-11,276
2020-11-12,0.3364417347297801,2020-11-12,277
2020-11-13,0.3298339076903456,2020-11-13,278
2020-11-14,0.42702552471315874,2020-11-14,279
2020-11-15,0.4819340962681257,2020-11-15,280
2020-11-16,0.33228860791658354,2020-11-16,281
2020-11-17,0.32622716546783953,2020-11-17,282
2020-11-18,0.325037082589659,2020-11-18,283
2020-11-19,0.324362319526811,2020-11-19,284
2020-11-20,0.3206035932266974,2020-11-20,285
2020-11-21,0.4097678542490279,2020-11-21,286
2020-11-22,0.47184422928545805,2020-11-22,287
2020-11-23,0.329016128064093,2020-11-23,288
2020-11-24,0.3239603638702993,2020-11-24,289
2020-11-25,0.3285172160364221,2020-11-25,290
2020-11-26,0.3360430292387313,2020-11-26,291
2020-11-27,0.33170678324374436,2020-11-27,292
2020-11-28,0.41595074328798376,2020-11-28,293
2020-11-29,0.4752206975397122,2020-11-29,294
2020-11-30,0.33387309311732466,2020-11-30,295
2020-12-01,0.3282141273749048,2020-12-01,296
2020-12-02,0.32909437281104476,2020-12-02,297
2020-12-03,0.3252407486758108,2020-12-03,298
2020-12-04,0.3304350963033884,2020-12-04,299
2020-12-05,0.4141175253686554,2020-12-05,300
2020-12-06,0.4798644517267513,2020-12-06,301
2020-12-07,0.4139084151774231,2020-12-07,302
2020-12-08,0.4727251768655753,2020-12-08,303
2020-12-09,0.3258925040069839,2020-12-09,304
2020-12-10,0.3282763318742968,2020-12-10,305
2020-12-11,0.31917624002542866,2020-12-11,306
2020-12-12,0.3877617692685153,2020-12-12,307
2020-12-13,0.44570269986091765,2020-12-13,308
2020-12-14,0.3215100567197061,2020-12-14,309
2020-12-15,0.3128898447606196,2020-12-15,310
2020-12-16,0.3235093264948577,2020-12-16,311
2020-12-17,0.3164175583411469,2020-12-17,312
2020-12-18,0.31711092584181183,2020-12-18,313
2020-12-19,0.39482193601685034,2020-12-19,314
2020-12-20,0.4398450904767657,2020-12-20,315
2020-12-21,0.3181236163579568,2020-12-21,316
2020-12-22,0.3183037859827029,2020-12-22,317
2020-12-23,0.3311500459705926,2020-12-23,318
2020-12-24,0.3639902591780691,2020-12-24,319
2020-12-25,0.4669096233624516,2020-12-25,320
2020-12-26,0.42304321597800093,2020-12-26,321
2020-12-27,0.4631185631546876,2020-12-27,322
2020-12-28,0.3696687860669581,2020-12-28,323
2020-12-29,0.3632154581444446,2020-12-29,324
2020-12-30,0.35286790812757396,2020-12-30,325
2020-12-31,0.3733752464730122,2020-12-31,326
2021-01-01,0.48308956655971863,2021-01-01,327
2021-01-02,0.4202482191844176,2021-01-02,328
2021-01-03,0.46321216349962874,2021-01-03,329
2021-01-04,0.3591705753418964,2021-01-04,330
2021-01-05,0.35874333986569373,2021-01-05,331
2021-01-06,0.4589965998140334,2021-01-06,332
2021-01-07,0.38348230377211356,2021-01-07,333
2021-01-08,0.38822442768226445,2021-01-08,334
2021-01-09,0.48421545954776835,2021-01-09,335
2021-01-10,0.530949906875525,2021-01-10,336
2021-01-11,0.38522782620337553,2021-01-11,337
2021-01-12,0.37694770695108787,2021-01-12,338
2021-01-13,0.3706461339695459,2021-01-13,339
2021-01-14,0.36749598473649236,2021-01-14,340
2021-01-15,0.3584211168178468,2021-01-15,341
2021-01-16,0.4399019574950145,2021-01-16,342
2021-01-17,0.5042465054406569,2021-01-17,343
2021-01-18,0.3612429556288858,2021-01-18,344
2021-01-19,0.3616186497765269,2021-01-19,345
2021-01-20,0.37222943303734274,2021-01-20,346
2021-01-21,0.3638768774595353,2021-01-21,347
2021-01-22,0.36451704250727623,2021-01-22,348
2021-01-23,0.46461137247689066,2021-01-23,349
2021-01-24,0.5193437908897833,2021-01-24,350
2021-01-25,0.36810498764085986,2021-01-25,351
2021-01-26,0.3623833949710657,2021-01-26,352
2021-01-27,0.3613181334570969,2021-01-27,353
2021-01-28,0.3589049679253829,2021-01-28,354
2021-01-29,0.35617915840175807,2021-01-29,355
2021-01-30,0.46512052081561855,2021-01-30,356
2021-01-31,0.5248987278839004,2021-01-31,357
2021-02-01,0.3619129559953199,2021-02-01,358
2021-02-02,0.3594228621094535,2021-02-02,359
2021-02-03,0.3561007006192989,2021-02-03,360
2021-02-04,0.3541789083725573,2021-02-04,361
2021-02-05,0.3529420917015412,2021-02-05,362
2021-02-06,0.46110601609036245,2021-02-06,363
2021-02-07,0.516931433010247,2021-02-07,364
2021-02-08,0.3601173184079641,2021-02-08,365
2021-02-09,0.35865077558036557,2021-02-09,366
2021-02-10,0.35280773913797364,2021-02-10,367
2021-02-11,0.34759209328927887,2021-02-11,368
2021-02-12,0.3427823957906092,2021-02-12,369
2021-02-13,0.42579146226407494,2021-02-13,370
2021-02-14,0.4797230682982883,2021-02-14,371
2021-02-15,0.3572502096696875,2021-02-15,372
2021-02-16,0.35500746740606814,2021-02-16,373
2021-02-17,0.3425853737480803,2021-02-17,374
2021-02-18,0.33855876558994574,2021-02-18,375
2021-02-19,0.33508746202417616,2021-02-19,376
2021-02-20,0.4162466266139026,2021-02-20,377
2021-02-21,0.500204227775223,2021-02-21,378
2021-02-22,0.3545376045042543,2021-02-22,379
2021-02-23,0.3486596287081001,2021-02-23,380
2021-02-24,0.34132459766776135,2021-02-24,381
2021-02-25,0.3344231534651134,2021-02-25,382
2021-02-26,0.3245191739803403,2021-02-26,383
2021-02-27,0.39638542363410073,2021-02-27,384
2021-02-28,0.4581156464031471,2021-02-28,385
2021-03-01,0.3544489635660758,2021-03-01,386
2021-03-02,0.33194577935916986,2021-03-02,387
2021-03-03,0.32820737072246814,2021-03-03,388
2021-03-04,0.3255276225637748,2021-03-04,389
2021-03-05,0.31818740050270533,2021-03-05,390
2021-03-06,0.398387471748632,2021-03-06,391
2021-03-07,0.4620867604307918,2021-03-07,392
2021-03-08,0.34829716487345186,2021-03-08,393
2021-03-09,0.3285429087180784,2021-03-09,394
2021-03-10,0.32367229650069224,2021-03-10,395
2021-03-11,0.3218711358293607,2021-03-11,396
2021-03-12,0.31448927057891507,2021-03-12,397
2021-03-13,0.3855930917558844,2021-03-13,398
2021-03-14,0.4498781704192193,2021-03-14,399
2021-03-15,0.3232135205831015,2021-03-15,400
2021-03-16,0.32994108169704395,2021-03-16,401
2021-03-17,0.3250159223067666,2021-03-17,402
2021-03-18,0.33263836042823586,2021-03-18,403
2021-03-19,0.3840222884908032,2021-03-19,404
2021-03-20,0.3973018967095778,2021-03-20,405
2021-03-21,0.44150954175795976,2021-03-21,406
2021-03-22,0.3280690080521823,2021-03-22,407
2021-03-23,0.3186691425447555,2021-03-23,408
2021-03-24,0.31564699590685164,2021-03-24,409
2021-03-25,0.31352958096597705,2021-03-25,410
2021-03-26,0.3133846072772044,2021-03-26,411
2021-03-27,0.3764249496023502,2021-03-27,412
2021-03-28,0.42537445859391776,2021-03-28,413
2021-03-29,0.3347642465136797,2021-03-29,414
2021-03-30,0.33143452855777294,2021-03-30,415
2021-03-31,0.32170920656969915,2021-03-31,416
2021-04-01,0.3830904661853668,2021-04-01,417
2021-04-02,0.42857312931602454,2021-04-02,418
2021-04-03,0.38381669535308066,2021-04-03,419
2021-04-04,0.4229258320176115,2021-04-04,420
2021-04-05,0.3610781129506091,2021-04-05,421
2021-04-06,0.32107995580405374,2021-04-06,422
2021-04-07,0.3208957168269088,2021-04-07,423
2021-04-08,0.31893705895382407,2021-04-08,424
2021-04-09,0.31999632429031555,2021-04-09,425
2021-04-10,0.39404995541409005,2021-04-10,426
2021-04-11,0.4544139861280192,2021-04-11,427
2021-04-12,0.3251804007092547,2021-04-12,428
2021-04-13,0.31872267472886345,2021-04-13,429
2021-04-14,0.3183800232704149,2021-04-14,430
2021-04-15,0.32279099142004053,2021-04-15,431
2021-04-16,0.310468252508077,2021-04-16,432
2021-04-17,0.3811727205425206,2021-04-17,433
2021-04-18,0.4314237568477121,2021-04-18,434
2021-04-19,0.3209524602114462,2021-04-19,435
2021-04-20,0.3191202722625986,2021-04-20,436
2021-04-21,0.3215030870861508,2021-04-21,437
2021-04-22,0.31971202326801157,2021-04-22,438
2021-04-23,0.3133874639847351,2021-04-23,439
2021-04-24,0.38393017359677617,2021-04-24,440
2021-04-25,0.4564894546216753,2021-04-25,441
2021-04-26,0.3257127085288447,2021-04-26,442
2021-04-27,0.32138172307174395,2021-04-27,443
2021-04-28,0.3174409988487101,2021-04-28,444
2021-04-29,0.31335125060040975,2021-04-29,445
2021-04-30,0.30156270396583357,2021-04-30,446
2021-05-01,0.41401532162023374,2021-05-01,447
2021-05-02,0.39652669030484566,2021-05-02,448
2021-05-03,0.3360465219594659,2021-05-03,449
2021-05-04,0.31232002897407996,2021-05-04,450
2021-05-05,0.30726906128725745,2021-05-05,451
2021-05-06,0.30444287353103755,2021-05-06,452
2021-05-07,0.29469518040601655,2021-05-07,453
2021-05-08,0.35502844612586615,2021-05-08,454
2021-05-09,0.4263485955182882,2021-05-09,455
